Part Number,Description,Qty,Column1,Avg Cost
EL-04-1209,"Arlec 2m Black Piggyback Extension - 2m (Aisle 48, Bay 9)",0,ea,4.03
EL-04-1210,Autosol 350g Metal Polish,0,ea,27.72
EL-04-1211,Protek 250ml Type N Clear PVC Cement For Non Pressure Pipes,1,ea,6.36
EL-04-1212,50MM PVC FLANGE,0,ea,2.16
EL-04-1213,Pipe PVC Floor Flange 100mm,2,ea,1.68
EL-04-1214,50MM PVC PIPE  1M,0,ea,11.18
EL-04-1215,"80mm x 1m PVC DWV Pipe (Aisle 64, Bay 2)",0,ea,22.99
EL-04-1216,"100mm x 3m PVC DWV Pipe (Aisle 64, Bay 2)",0,ea,24.09
EL-04-1217,"Kinetic 80mm Waste Tray Floor Flange (Aisle 64, Bay 3)",0,ea,2.44
EL-04-1218,Fielders 2.4m 100mm Zinc Angle,0,ea,37.89
EL-04-1219,Dektite 5 - 127mm Black Premium Roof Flashing,0,ea,14.33
EL-04-1220,HydroSeal 12mm Tap Valves - 2 Pack,0,ea,3.55
EL-04-1221,80 Piece Knife Blade Set Craftright,1,ea,4.3
EL-04-1222,lubricant dry PTFE WD-40 150g aerosol,0,ea,15.07
EL-04-1223,"Craftright 1/4"" & 3/8"" Drive Socket Set-40 Piece",0,ea,9.07
EL-04-1224,"Jflex 1/4"" BSP Female And Male Mini Ball Valve",13,ea,8.87
EL-04-1225,Karcher Flat Vacuum Cleaner Filter To Suit WD6,0,ea,30.91
EL-04-1226,Sutton 4.0mm Metric HSS Jobber Drill Bit - 10 Pack,0,ea,17.92
EL-04-1227,Sutton Tools 1mm HSS Metric Viper Drill Bit,0,ea,3.03
EL-04-1228,Sutton Tools 3mm Viper Jobber Drill Bit,0,ea,0
EL-04-1229,"Sutton Tools 1/4"" Long Series Jobber Drill Bit",0,ea,13.74
EL-04-1230,Sutton Tools 8.5mm Viper Jobber Drill Bit,2,ea,12.01
EL-04-1231,Pine structural MGP10 blue H2 90 x 35mm 3.6m,0,ea,16.17
EL-04-1232,P2 Valve Masks 10pk,0,ea,34.46
EL-04-1233,Sika 310ml White / Black Sikaflex 221 Multi-Purpose Adhesive Sealant,10,ea,27.59
EL-04-1234,Combination Pliers 200mm,0,ea,5.43
EL-04-1235,Commercial High Grit Croc Grip XL Step Black,0,ea,7.35
EL-04-1236,Commercial High Grit  Croc Grip XL,2,ea,9.3
EL-04-1237,3mm Drill Bit - Jobber 10pk,1,ea,20.37
EL-04-1238,4mm Drill Bit  - Jobber 10pk,1,ea,20.36
EL-04-1239,5mm Drill Bit - Jobber 10pk,1,ea,23.93
EL-04-1240,6mm Drill Bit - Jobber 5pk,2,ea,30.19
EL-04-1241,Aluminium Flashing,0,ea,53.64
EL-04-1242,Bunnings Straw Hat,0,ea,6.36
EL-04-1243,Various Store Replenish - Consumables,0,ea,15.6
EL-04-1244,CraftRight Razor 80PK,0,ea,2.15
EL-04-1245,5.4 x 4 x 6.4 rivet ALUM (100pk),0,ea,7.03
EL-04-1246,40 x 3mm 3m Aluminium Flat Bar,0,ea,28.44
EL-04-1247,500mm x 280m CLEAR Pallet Shrink Wrap - Wrap & Move,6,ea,17.48
EL-04-1248,500mm x 280m BLACK Pallet Shrink Wrap - Wrap & Move,0,ea,0
EL-04-1249,12 Pack - CLEAR Packing Tape - Wrap & Move,0,ea,6.18
EL-04-1250,OZtrail Fibreglass Tent Pole Kit 8.5mm,4,ea,22.72
EL-04-1251,29 x 90 label roll suit brother printer,3000,ea,1.3
EL-04-1252,linishing belt maroon 180 grit 50mm x 914mm (2 pack),0,ea,52.24
EL-04-1253,3M Cubitron Fibre Disc purple 36 grit 125mm x 22mm (5 pack),2,ea,4.97
EL-04-1254,cut off disc Pferd PSF Steelox 125mm x 2.4mm (5 pack),2,ea,4.3
EL-04-1255,3M Rainbow Electrical Tape 10pack,10,ea,1.5
EL-04-1256,DETA 20m 18mm Green Insulation PVC Tape,0,ea,2.33
EL-04-1257,DETA  20m x 18mm Blue Insulation PVC Tape - 5 Pack,1,ea,1.21
EL-04-1258,UNi-PRO 25mm Synthetic Paint Brush,5,ea,4.05
EL-04-1259,Trojan Paint Scraper Stiff 50mm,1,ea,5.96
EL-04-1260,ETCH Primer DY-Mark 325G,6,ea,13.58
EL-04-1261,Spray Paint Aerosol - Royal Blue - B12 - 400g,0,ea,31.82
EL-04-1262,Cabac Copper Jointing Compound 220g,0,ea,45
EL-04-1263,Castrol Red Rubber Grease 500g,0,ea,22.61
EL-04-1264,12 x 55 Rota Broach Mag Drill Cutter,0,ea,37.18
EL-04-1265,13 x 55 Rota Broach Mag Drill Cutter,0,ea,38.09
EL-04-1266,16 x 55 Rota Broach Mag Drill Cutter,0,ea,43.55
EL-04-1267,18 x 55 Rota Broach Mag Drill Cutter,0,ea,46.27
EL-04-1268,40 x 55 Rota Broach Mag Drill Cutter,0,ea,117.27
EL-04-1269,50 x 55 Rota Broach Mag Drill Cutter,0,ea,180.91
EL-04-1270,Inox 300g Aerosol Lubricant Can,3,ea,8.55
EL-04-1271,DULUX Weathershield MaxiFlex Low Sheen - N64 Dark Grey 4L,1,ea,113.55
EL-04-1272,BDS SCAR PLATE suit CAM LOCK,0,ea,5.75
EL-04-1273,GREEN GATE KEY - BM1398-B,0,ea,20.45
EL-04-1274,YELLOW CABINET KEY - BM1398-T.26,0,ea,21.14
EL-04-1275,Brava EU6062SCDDA70 Heavy Duty Store Room Lever Set with DDA Handles,0,ea,118.18
EL-04-1276,Inline Restricted Cylinder,0,ea,55.45
EL-04-1277,scar plate 65mm x 39mm suit cam lock,0,ea,10
EL-04-1278,Cabinet Lock Chrome Quarter Turn 5mm,0,ea,11.34
EL-04-1279,panel internal suit JCCS cabinet,0,ea,100
EL-04-1280,end plate suit svolt cell compression,146,ea,7
EL-04-1281,shim alum 220x100x0.6 suit CATL cell,1500,ea,1.75
EL-04-1282,Back panel for splitter cabinet,0,ea,100
EL-04-1283,backing panel suit PDU cabinet,4,ea,88.18
EL-04-1284,Gland plate suit PDU cabinet,19,ea,42.27
EL-04-1285,busbar main positive suit PDU (excl. material),15,ea,47.5
EL-04-1286,busbar main negative suit PDU (excl. material),13,ea,47.5
EL-04-1287,busbar earthing suit PDU (excl. material),17,ea,21
EL-04-1288,gland plate suit VMU cabinet,5,ea,36.35
EL-04-1289,gland plate suit VMU cabinet,5,ea,68
EL-04-1290,cover protective top suit PDU cabinet,0,ea,91.48
EL-04-1291,cover protective top suit PDU cabinet,4,ea,96.24
EL-04-1292,cover protective front suit PDU cabinet,0,ea,48.12
EL-04-1293,cover protective front suit PDU cabinet,4,ea,48.12
EL-04-1294,backing plate suit VMU cabinet,7,ea,58.84
EL-04-1295,copper busbar suit VMU cabinet,230,ea,1.83
EL-04-1296,cork gasket suit electrical cabinet,15,ea,11.02
EL-04-1297,door plate suit VMU cabinet,7,ea,38.07
EL-04-1298,bracket 3D printed suit telstra 4GX modem,8,ea,10.56
EL-04-1299,bracket 3d printed suit ewert candaptor,7,ea,4.45
EL-04-1300,bracket 3d printed suit intel nuc,6,ea,13.22
EL-04-1301,bracket 3d printed suit kvaser,2,ea,3.51
EL-04-1302,bracket 3d printed suit kvaser,2,ea,3.51
EL-04-1303,1mm Copper,25,ea,5
EL-04-1304,"1mm Copper, folded",25,ea,8
EL-04-1305,busbar fuses RHS suit PDU (excl. material),27,ea,5.89
EL-04-1306,busbar fuses LHS suit PDU (excl. material),27,ea,5.89
EL-04-1307,busbar fuses centre suit PDU (excl. material),34,ea,2
EL-04-1308,backing panel suit PDU door,7,ea,26
EL-04-1309,busbar 8 gang suit VMU fuse relay block,34,ea,6.5
EL-04-1310,bracket mounting suit Unitronics modem,27,ea,16.81
EL-04-1311,cutting fee,0,ea,0
EL-04-1312,10A Glass Fuse 5x20mm,194,ea,0.49
EL-04-1313,Freight,0,ea,0
EL-04-1314,Expansion Tank,0,ea,60.79
EL-04-1315,62mm x 100mm Die-Cut labels,3,ea,9.53
EL-04-1316,"RL21D Bonded Washer 1/2""""",4,ea,4.6
EL-04-1317,Deutsch Pins Female for 12 pin plug,6,ea,5.12
EL-04-1318,DT04-2P-E004 socket deutsch,0,ea,0
EL-04-1319,DT06-4S Deutsh Plug 4 Circuit - Includes Wedge,8,ea,0
EL-04-1320,processing fee levied by carrier,0,ea,0
EL-04-1321,"SPAL fan straight 12"" 12VDC puller",1,ea,189.76
EL-04-1322,"fan SPAL thermo puller 24V 12""",0,ea,176.51
EL-04-1323,0.34mm² bootlace pin pink hf,1002,ea,0.06
EL-04-1324,0.50mm bootlace ferrule insulated white,990,ea,0.04
EL-04-1325,0.75mm bootlace ferrule insulated nylon blue,2141,ea,0.06
EL-04-1326,1mm bootlace ferrule insulated nylon red,3004,ea,0.05
EL-04-1327,1.5mm bootlace ferrule insulated nylon black,4005,ea,0.05
EL-04-1328,2.5mm bootlace ferrule insulated nylon grey,996,ea,0.43
EL-04-1329,3.2x10mm pin 4mm bootlace ferrule insulated orange,3,ea,18.29
EL-04-1330,3.9x12mm pin 6mm bootlace ferrule insulated green,3,ea,23.06
EL-04-1331,twin 2x1.0mm bootlace ferrule insulated,4,ea,15.76
EL-04-1332,twin 2x1.5mm 2.3x8mm pin bootlace ferrule insulated black,0,ea,17.81
EL-04-1333,twin 2x4mm 3.7x12mm pin bootlace ferrule insulated grey,0,ea,38.48
EL-04-1334,twin 2x6.0mm bootlace ferrule insulated,0,ea,47.49
EL-04-1335,8mm bootlace ferrule insulated yellow,1,ea,35.9
EL-04-1336,10mm bootlace ferrule insulated nylon brown,1,ea,14.44
EL-04-1337,16mm bootlace pin ivory pack,0,ea,11.11
EL-04-1338,0.5mm2 8mm endsleeve white - 500 pack,1,ea,18.54
EL-04-1339,1.0mm2 8mm endsleeve red - 500 pack,1,ea,18.54
EL-04-1340,6mm2 12MM endsleeve green 100,1,ea,10.73
EL-04-1341,250R Resistors ARCOL Aluminium Housed,5,ea,83.43
EL-04-1342,voltage booster 12VDC to 19VDC,5,ea,19.74
EL-04-1343,proximity switch inductive barrel type,8,ea,64.31
EL-04-1344,Hydrogen and Carbon Monoxide leak detection sensor (H2+CO) - CAN - 9 - 18V supply - IP6K7 Waterproof housing. Without Delphi BLD_clip. 0-16%H2,0,ea,56.61
EL-04-1345,DB9 Plastic Backshell FEMALE,32,ea,1.82
EL-04-1346,DB9 Connector - Solder FEMALE,41,ea,1.68
EL-04-1347,DB9 Connector - Solder MALE,1,ea,15.91
EL-04-1348,DB9 ABS Flameproof Backshell MALE,1,ea,3.18
EL-04-1349,M20 brass flex conduit gland termintor,20,ea,7.49
EL-04-1350,M20 brass flex conduit gland lock nut,90,ea,1.87
EL-04-1351,M25 brass flex conduit gland termintor,50,ea,12.5
EL-04-1352,M25 brass flex conduit gland lock nut,0,ea,2.11
EL-04-1353,20mm earth washer brass,0,ea,3
EL-04-1354,25mm earth washer brass,20,ea,4.15
EL-04-1355,10mm2 6mm copper lug (50),0,ea,17.24
EL-04-1356,10mm2 8mm copper lug (50),20,ea,0.65
EL-04-1357,16mm2 8mm copper lug (50),51,ea,0.88
EL-04-1358,25mm2 6mm copper lug (50),48,ea,0.61
EL-04-1359,25mm2 8mm bell copper lug (50),0,ea,1.76
