Part Number,Description
135237,Wattmaster ALCK12-DIEKIT - Die Kit 16mm-400mm suit 12T Crimper ALCK12DIEKIT
B&RIPMP4521,Metal Mounting Panel H: 1120mm W: 540mm D: 2mm
1862X10,"Union Tube Quick Connect 5/8"""
DC1000VCCB,DC 1000V 1500V mccb Molded Case Circuit Breaker with IEC TUV SAA CE certification
DE1K8S14-560S14RC,EV DC-DC CONVERTER - DE1K8S14-560S14RC
DE1K8S20-560S14RC,EV DC-DC CONVERTER - DE1K8S20-560S14RC
380VVFD,380v vfd frequency converter for motor speed control driver 3 phase vector heavy duty inverter 3ph Variable Frequency Drive
REFCOMPMIT233,Refrigerator Compressor of Mitsubishi RB233YABC
450VHYDPW,450V Hydraulic power unit
4V210-08,4V210-08 5/2 way Electric Coil Pneumatic Air Control Solenoid Valve
FPV-63-50,2P 50A 800VDC MCB
FPV-63-25,2P 25A 800VDC MCB
GBT250ADUOSIDASOCK,GB/T Charing SOCKET 250A DUOSIDA
GBT250ADUOSIDAPLUG,GB/T Charing plug 250A DUOSIDA
COOLBLUE20L,Long Life Organic Coolant Blue 20 litres
QIKSHIF3TATF20L,QIK-Shift 3 ATF 20 litres
184193601,"0411-204-1605 EXTRACTION TOOL, HDP, SIZE 16"
O2REM36,Orion 2 Battery Management System- Remote Module- 36 cell.
CWH366G,"Cell Tap Wiring Harness, 36 cell, 6ft wire, Gold Plated"
CWHMIOR,CWHMIOR - Power Harness for Orion 2 Remote Modules
CWHTH8RM,8 thermistor harness for remote modules (slave units)
CWH18012G,"Cell Tap Wiring Harness, 180 cell, 12ft wire, Gold Plated - Includes 5x CWH3612G"
O2BXL180,Orion 2 Battery Management System- Master 180 Cell
CA-01-0009,"Main Connector Wiring Harness 6 ft (CAN1 wires - 12ft, CAN2 wires - 4ft.)"
CWHCT8XL,Current Sensor / 8 thermistor harness for expandable Orion 2 BMS unit (master unit)
CS124500,500A Dual Range Current Sensor
CA-01-0010,"Cell Tap Wiring Harness, 36 cell, 12ft wire., Gold Plated"
CA-01-0002,CANdapter CAN to USB converter
COOLPUMPTC2290,"Coolant Pump, TC-2290"
NCMBATTAF135AH,3.7v 135Ah NCM battery Tafel brand
8726084,P clips for metallic conduit 25mm
7242318,"Wedge lock,2 way,pin,green"
7242311,"Wedge lock,2 way,socket,orange"
7093810,"Contact socket, gold plate awg16-18"
8010799,Weather-Pack female crimp terminal 2-1mm
International Freight,International Freight
JCM-100-00,Janus Conversion Module
JCM-141-00,MOTOR SUPPORT
JCM-141-01,PLATE
JCM-141-02,PLATE
JCM-141-03,GUSSET
JCH-101-00,CLUTCH HOUSING ASS'Y
JCH-101-01,FLYWHEEL SHAFT
JCH-101-02,FLYWHEEL SHAFT-EF
JCH-101-03,HOUSING
JCH-101-04,PLATE
JCH-101-05,FLYWHEEL HUB
JCH-101-06,ADAPTOR SLEEVE-JCH TO GEARBOX
JCM-133-00,VSD SUPPORT FRAME
JCM-132-00,SUPPORT FOOTING
JCM-132-02,PLATE
JCM-132-03,GUSSET
JCM-133-01,VSD SUPPORT FRAME
JCM-133-02,PRESSED ANGLE
JCM-133-03,CABLE TRAY
JCM-134-00,VSD SUPPORT BRACKET
JCM-134-01,SUPPORT FOOTING
JCM-134-02,GUSSET
JCM-150-00,PUMP SUPPORT ASS'Y
JCM-151-00,PUMP SUPPORT BUND
JCM-151-01,PUMP TROUGH
JCM-151-02,ANGLE
JCM-151-03,FLAT BAR
JCM-152-00,SUPPORT
JCM-152-01,50X3.0 SHS
JCM-152-02,TWO HALF SOLTTED PLATE
JCM-153-00,SUPPORT
JCM-153-01,500X3.0 SHS
JCM-153-02,PLATE
JCM-161-00,HYDRAULIC TANK ASS'Y
JCM-161-01,HYDRAULIC TANK TOP PLATE
JCM-161-02,HYDRAULIC TANK FLANGE
JCM-161-03,HYDRAULIC TANK SHEET
JCM-161-04,HYDRAULIC TANK LUG
JCM-163-00,COOLING WATER TANK ASS'Y
JCM-163-01,COOLING WATER TANK FLANGE
JCM-163-02,COOLING WATER TANK NECK
JCM-163-03,COOLING WATER TANK TUBE
JCM-163-04,COOLING WATER TANK REDUCER
JCM-163-05,COOLING WATER TANK BASEPLATE
JCM-163-06,COOLING WATER TANK SPOUT
JCM-164-00,TBD
JCM-164-01,TBD
JCM-165-00,TBD
JCM-165-01,TUBE
JCM-165-02,PLATE
JCM-165-03,COIL
JCM-165-04,PLATE
JCM-165-05,TUBE
JCM-165-06,COIL
JCM-200-00,JCM-EATON FULLER
JCM-201-00,JCM-BASE ASS'Y
JCM-201-09,FLANGE
JCM-201-10,FLANGE
JCM-201-11,SHOULDER BOLT TO SUIT M12
JCM-202-00,TOP ASS'Y
JCM-203-01,L/H C-144 MOTOR MOUNT
JCM-203-02,R/H C-144 MOTOR MOUNT
JCM-400-00,ELECTRICAL CABINET
JCM-141-00-R1,MOTOR SUPPORT
502PUTS10-4035D400,2.2kW 400V HYDROVANE HVO2
VSD-FC302036600,VSD-FC302
VSD-130B1205010,CAN Open for VSD's
INV-HP2HV_0309-04,"DRIVE CO300A1, 3HP2, ASS'Y"
KIT-0109,M6 PHASE CABLES AWG #1 HARDWARE KIT(3 IN pk)
MO-450_240-05-3500,"MOTOR, ASS'Y LSM280-3500"
VMU06-CO3-A1,VMU06-C003
WH-0357-L1000,"CABLE, PHASE,I/F DRIVE 67MM M6, SINGLE END, AWG #1, 1000mm (RPL FOR 3000mm)"
WH-0510,"Motor Sensor Cable, Straight/Straight, 3000mm"
WH-0574-L3000,"CABLE, DC (+), 57MM 2X M6, SINGLE END, AWG 2/0, 3000mm"
WH-0575-L3000,"CABLE, DC (-), 57MM 2X M6, SINGLE END, AWG 2/0, 3000mm"
Hex M12X30mm,HEX HEAD  ZINC ALLOY 8.8 M12X30mm LG
Socket Head Cap Screw ZINC Alloy M6X16mm,Cap Screw M6X16mm
JCM-201-01,CLUTCH HOUSING MOUNTING PLATE
JCM-201-02,BATH TUB PLATE
JCM-201-03,SKI-JUMP FLANGE
JCM-201-06,FRONT-END FLANGE
JCM-201-08,FRONT ENGINE MOUNT
JCM-201-07,REAR FLANGE
JCM-202-01,BATH TUB COVER PLATE
JCM-202-02,SKI-JUMP FLANGE
JCM-202-03,FRONT END FLANGE
JCM-202-04,VSD BRACKET PLATE
JCM-202-05,GUSSET
JCM-202-06,AIR COMPRESSOR BRACKET
JCM-202-07,TANK HOUSING SUPPORT ANGLE
JCM-202-08,GUSSET
JCM-203-00,C-114 JCM MOUNTING BRACKETS
COOLING PUMP (TC-8130),AIR-CON WATER PUMP
JSB-560-00-R0,JSB LEVEL-6 ASS'Y
Circuit Breaker,Circuit Breaker
JSB-560-01-R0,JSB LEVEL-6 COVER PLATE
JSB-561-00-R0,JSB LEVEL-6 SUB  ASS'Y
JSB-561-01-R0,JSB LEVEL 6 SIDE PLATE 1
JSB-561-03,TBD
JSB-561-09-R0,JSB LEVEL 6 SIDE PLATE 2
JSB-561-08-R0,JSB LEVEL 6 SIDE PLATE 3
JSB-561-07-R0,JSB LEVEL 6 SIDE PLATE 3
JSB-561-05-R0,JSB CIRCUIT BREAKER SUPPORT
JSB-161-05-R1,JSB BMS SUPPORT
JSB-561-06-R0,JSB LEVEL 6 SIDE PLATE 4
JSB-561-04-R0,JSB CONTACTOR SUPPORT
JSB-562-00-R0,JANUS BOX - BATTERY ASS'Y
MIDA-GBT-EV250S Socket,TBD
JSB-562-05-R0,JSB U PLATE
JSB-562-04-R0,JSB U PLATE
JSB-162-02-R1,JSB CONNECTOR MOUNTING PLATE
JSB-162-01-R1,JSB OVAL ROLLED CONE
JSB-162-03-R1,JSB OVAL ROLLED PLATE
JSB-561-02-R0,JSB LEVEL 6 FORKLIFT TYNES
2098372-1,TBD
180 cell assembly part,TBD
Screw_DIN_912_M6x25_v16.00,HEXAGON SOCKET HEAD CAP SCREW DIN 912-M6X25
